GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
code_coverage_3,ex4.ex4,Triangle_clf_types.Triangle_Types,0,33,0,0,0,2,0,1,0,1
code_coverage_3,ex4.ex4,Triangle_clf_types,0,56,0,14,0,17,0,9,0,2
